"时间戳记","After the lockdown of COVID-19, did your indoor entertainment activities become more than before?","What is your gender?","What is your age group?","What about your work experience?","Which is your favourite indoor entertainment?","Which factor influence you most to choose to watch a movie","Do you read film reviews before watching a movie?","Do bad film reviews make you decide to give up watching this movie?","Where do you usually browse movie reviews most?","Do you think there are many cases of deliberately creating bad movie reviews","Do you think most of the movies recommended by these film review platforms are your interest?","Do you like to share your film reviews online?","If you don’t want to share your film reviews, why?","Do you find that some film reviews focused on criticising the of actors appearance bother you? If so, why?","If the film review website can filter out the film reviews according to the user's personal needs, like clear some comments which attack others, it will help users to get more authentic film reviews, will you use this function all the times?","If the toxic review filtering limit user share their comments which is toxic. Would you take the initiative to use that, even it would limit your (toxic) comment, but everyone will get a fair and authentic environment.","How do you get the movie you may interest online?","When the platform's recommendation system to recommend movies to you, which basis do you want most?","Which aspect of the movie is most valued for you?"
"2021/10/11 3:22:04 下午 GMT+1","Yes","Male","25-45","Student","Watching movies;Playing the computer game;Reading;Listening the music","Cast;Trailer;Awards or Recommendations from other authorities, like movie review platform, cinema,;Good reviews","Yes","Yes","Rotten Tomatoes","Yes","Most","Yes","Not getting likes/share from others","Yes","Yes","Yes","Key word search","Personal preference when you register","Story plot"
"2021/10/13 2:14:36 下午 GMT+1","No","Female","18-25","Have less than 3 years of work experience","Watching movies;Playing the computer game","Trailer;Awards or Recommendations from other authorities, like movie review platform, cinema,;Good reviews","Yes","Yes","Rotten Tomatoes","Yes","Half","Sometimes","Not getting likes/share from others","Yes","No","Yes","Recommendation by the certain platform","My saved/like movies list","Movie theme"
"2021/10/13 2:15:28 下午 GMT+1","Maybe, not really","Female","18-25","Have less than 3 years of work experience","Watching movies;Listening the music","Cast;Trailer","No","Maybe","Rotten Tomatoes","Yes","Half","Sometimes","Too many trolls","No","Yes","Yes","Key word search","Search records","Movie theme"
"2021/10/13 2:16:36 下午 GMT+1","Yes","Female","25-45","Have 3-10 years of work experience","Watching movies;Reading;Listening the music;mediation ，keep，yoga","Awards or Recommendations from other authorities, like movie review platform, cinema,","Sometimes","No","IMDb (Internet Movie Database)","Maybe","Less than half","Yes","Not getting likes/share from others","No","No","Yes","Recommendation by the certain platform","Personal preference when you register","Movie theme"
"2021/10/13 2:17:33 下午 GMT+1","Yes","Female","18-25","Student","Watching movies;Listening the music","Awards or Recommendations from other authorities, like movie review platform, cinema,","Sometimes","Maybe","INS (IG)","Maybe","Half","No","Too many trolls","Maybe","Yes","Maybe","Shared link from my friends","Search records","Movie theme"
"2021/10/13 2:24:09 下午 GMT+1","Maybe, not really","Male","18-25","Student","Playing the computer game;Reading","Trailer;Good reviews","Sometimes","Maybe","Rotten Tomatoes","Yes","Half","No","Too much effort","Maybe","Yes","Maybe","Recommendation by the certain platform","All of the above are important","Story plot"
"2021/10/13 2:48:03 下午 GMT+1","No","Male","25-45","Student","Watching movies;Playing the computer game;Reading;Listening the music","Cast;Awards or Recommendations from other authorities, like movie review platform, cinema,;Good reviews","Sometimes","Yes","Piero Scaruffi (favourite film critic)","No","Half","No","I leave that to the experts!","I haven't experienced this but I wouldn't like to see it.","No","No","Key word search","All of the above are important","All the above are equally important!"
"2021/10/13 2:59:09 下午 GMT+1","Maybe, not really","Female","25-45","Have less than 3 years of work experience","Watching movies;Playing the computer game;Reading;Listening the music","Trailer","Yes","Yes","IMDb (Internet Movie Database)","No","Half","Yes","Too many trolls","Maybe","Maybe","No","Some people share it on the social media","The labels I follows","Movie theme"
"2021/10/13 3:08:02 下午 GMT+1","Yes","Female","25-45","Have 3-10 years of work experience","Watching movies","Good reviews","Yes","Yes","ifsp","Maybe","Most","Sometimes","Not getting likes/share from others","Maybe","Maybe","Maybe","Key word search","All of the above are important","Movie theme"
"2021/10/13 3:22:02 下午 GMT+1","Yes","Male","25-45","Have 3-10 years of work experience","Playing the computer game","Awards or Recommendations from other authorities, like movie review platform, cinema,;Good reviews","Yes","Yes","Rotten Tomatoes","Yes","Most","Sometimes","Too many trolls","Yes","Yes","Yes","Key word search","Personal preference when you register","Story plot"
"2021/10/13 3:23:47 下午 GMT+1","Yes","Female","18-25","Student","Watching movies;Playing the computer game","Awards or Recommendations from other authorities, like movie review platform, cinema,;Good reviews","Sometimes","Yes","IMDb (Internet Movie Database)","Yes","Half","No","Not getting likes/share from others","Maybe","No","No","Recommendation by the certain platform","All of the above are important","Movie theme"
